FASN	IGF1	+
IL10	NR3C1	+
STAT1	ALB	+
EGR1	COMP	+
IGF1	CCND1	+
BDNF	FOS	+
FN1	ILK	+
TFRC	STAT5A	+
GATA3	AURKA	+
JUN	GJA1	+
SMAD3	KLK3	+
ILK	ISL1	+
TEAD4	NOS3	+
IL10	IL4	+
MEF2C	SOX4	+
F2R	EGR1	+
PTGS2	KNG1	+
FOS	IL6	+
MYH11	IGF1	+
JUN	ATF3	+
PTGS2	IL6	+
EDNRA	NOS3	+
CXCR4	IL4	+
HSD3B1	IL4	+
PTGS2	EGR1	+
MAP2K6	FOS	+
ALB	CCL2	+
BDNF	IGF1	+
ANGPT1	EGR1	+
CDH1	CCND1	+
IL10	CD14	+
STAT5A	CDH1	+
TFRC	IL4	+
JUN	IGF1	+
KNG1	IL6	+
BDNF	VEGFB	+
KLF6	ATF3	+
FGF2	EGR1	+
FOS	CCNB1	+
BGN	IL6	+
MYLK	CALM3	+
IL6	CCL2	+
ABL1	CCND1	+
NOS3	NAMPT	+
F3	CCL2	+
PTGS2	WNT5A	+
SPP1	AGT	+
PTGS2	APOE	+
PTGS2	FGF2	+
FN1	IGF1	+
SELP	LTF	+
FGF2	CCND1	+
FOS	IGF1	+
ZYX	TWIST1	+
FGFR1	EDNRA	+
KRT18	ETS2	+
CCK	FOS	+
GJA1	FGF2	+
IL15	IL4	+
CAV1	IGF1	+
MAOB	DDC	+
IL15	CD69	+
FN1	SNAI2	+
IL15	IL6	+
ITPR1	PLSCR1	+
F2R	CCND1	+
F3	F2RL1	+
FN1	ATF3	+
PTGDS	PTGS2	+
F3	SELP	+
FGF2	ENPP2	+
SPP1	EGR1	+
KNG1	SELP	+
FGF2	PDGFRA	+
JUN	IL6	+
EZH2	IL6	+
NKX2-2	ACTA1	+
PTGS2	NOS3	+
IGF1	EGR2	+
PTGS2	F2RL1	+
AGT	F3	+
PITX1	GDF15	+
ID1	CCND1	+
NOS3	ANGPT1	+
IL6	JUND	+
JUN	CCND1	+
AOC3	SELP	+
MAP2K6	GDF15	+
CXCR4	CCL2	+
IL10	CCL18	+
ILK	CCND1	+
MAPK8	ATF3	+
F3	IL6	+
BDNF	FGF2	+
STAT5A	IGF1	+
PTGS2	ILK	+
MUC1	CCND1	+
EZH2	HOXB13	+
FOS	CARTPT	+
BMP6	CDH1	+
CXCR4	IL6	+
STAT6	IL4	+
STAT1	IL15	+
IGF1	NOS3	+
LGALS3	CCND1	+
FN1	FGF2	+
IL6	CST4	+
BDNF	CCND1	+
FOSB	LGALS1	+
CDKN1C	PLAGL1	+
FOS	FOSB	+
FOS	KNG1	+
FOS	TFF3	+
BDNF	IL6	+
ITPR1	FGF7	+
KNG1	CCND1	+
MUC1	LGALS3	+
NR1H2	APOE	+
CYR61	CCND1	+
NOS3	FGF2	+
IL10	CXCR4	+
AGT	FN1	+
MAPK8	EGR1	+
IGF1	IGFBP5	+
EDNRA	ILK	+
ZEB1	IGF1	+
SELP	VWF	+
FN1	TGFB3	+
KLK3	IL4	+
FOS	F2RL1	+
FOS	FGF2	+
FHL2	FOS	+
CCK	FGF2	+
PRRX1	TNC	+
MEF2C	JUN	+
ACTA1	CCL2	+
PTTG1	FGF2	+
MAPK8	CCND1	+
FGF2	MMP7	+
PTGS2	RBMS1	+
WNT5A	CCND1	+
ATF3	GDF15	+
IGF1	TWIST1	+
FN1	IL6	+
MYO10	BMP6	+
IQGAP2	CDH1	+
F3	PTX3	+
PTGS2	MAP2K6	+
AR	IGFBP5	+
EGR1	CCND1	+
FN1	ALB	+
IL10	NOS3	+
F3	EGR1	+
BDNF	TPM1	+
IL10	PDLIM7	+
JUN	NOS3	+
NOS3	ARG2	+
ABL1	CDKN2A	+
JUN	KNG1	+
IGF1	HAPLN1	+
FN1	CCL2	+
BDNF	ALDH1A2	+
FGF2	IL6	+
MAPK8	CCL2	+
CLU	IL6	+
F3	FGF2	+
CA3	CCND1	+
PTGS2	FOS	+
IL6	LTF	+
SPP1	IGF1	+
FGF7	IL6	+
CDH1	CBX7	+
MFGE8	TP63	+
GATA3	STAT6	+
AR	IL6	+
IGF1	IL6	-
IL10	JUN	-
NOS3	IL6	-
IGF1	PDGFRA	-
CD14	IL4	-
MICA	IL10	-
CDH1	SNAI2	-
DPT	IL4	-
EDNRA	IGF1	-
