	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105	V106	V107	V108	V109	V110	V111	V112	V113	V114	V115	V116	V117	V118	V119	V120	V121	V122	V123	V124	V125	V126	V127	V128	V129	V130	V131	V132	V133	V134	V135	V136	V137	V138	V139	V140	V141	V142	V143	V144	V145	V146	V147	V148	V149	V150	V151	V152	V153	V154	V155	V156	V157	V158	V159	V160	V161	V162	V163	V164	V165	V166	V167	V168	V169	V170	V171	V172	V173	V174	V175	V176	V177	V178	V179	V180	V181	V182	V183	V184	V185	V186	V187	V188	V189	V190	V191	V192	V193	V194	V195	V196	V197	V198	V199	V200
YPL248C	0.0458591	0.7688198	0.086938	0.0280469	0.7573077	0.591492	0.0018132	0.0266636	0.000116	0.3227971	0.0185738	0.061086	0.0017425	0.0013752	0.6881403	0.0001923	0.0007772	0.7086649	3.22e-05	0.0482586	0.6815904	0.0047694	0.0332898	0.1108845	0.0027372	0.2728693	0.7056038	0.4400403	0.0032428	0.0242039	0.0001911	0.0246191	0.0004113	0.0027799	0.0007962	0.0013073	0.55825	0.0523452	0.1226646	0.2338576	0.2504966	0.0010614	0.0019718	0.0208295	0.0005283	0.5161784	0.4587335	0.0003597	0.0234022	0.0376731	0.0014388	0.5461893	7.97e-05	0.0291754	0.0323809	0.5736224	0.0317879	0.1601101	0.0011928	0.0299147	0.0003534	0.0201057	0.0004659	0.0009484	0.0001419	0.0028383	0.2860142	0.1075532	0.0003645	0.7166385	0.0008687	0.3771844	0.0247077	0.0005953	0.6863142	0.014148	0.0305605	0.1062588	0.0301028	0.0003076	0.0059047	0.6285816	0.4073826	0.0483747	0.7176907	0.0003177	0.7166489	0.0069357	0.6240967	0.0245132	0.0005249	0.7640953	0.5730087	0.002801	0.0001634	0.0009708	0.0356737	0.0097967	0.6338659	0.0353387	0.0005703	0.7579534	0.0020014	0.0316837	0.0065965	0.0050309	0.7000239	0.0320559	0.0159018	0.228432	0.020426	0.0006032	0.0853527	0.4834837	0.0337151	0.0284849	0.0268859	0.5610311	0.151324	0.0023865	0.5381077	0.0016998	0.0017026	0.0001835	0.4958287	0.0538478	0.019548	0.0031589	0.5894684	0.0961485	0.0322899	0.3593293	0.0631383	0.026459	0.8386195	0.0156275	0.8214449	0.0206075	0.7041781	0.020874	0.4533707	0.3776977	0.0025038	0.017184	0.0173799	7.9e-05	0.0163565	0.018456	0.000401	0.7750128	0.0014238	0.030316	0.6871194	0.7353565	0.0008626	0.0137598	4.87e-05	0.0417476	0.0026883	0.0234481	0.0164883	0.6479418	0.0002487	0.8046299	0.7272637	0.0440839	0.7602311	0.3476745	0.0244792	0.087823	0.0001462	0.9282212	0.0013523	0.6083016	0.000303	0.5502308	0.0386835	0.0283637	0.6317893	0.124831	0.339547	0.0005336	0.6726112	0.6278036	0.0367859	0.003717	0.0272755	0.0368105	0.2196843	0.0130461	0.0001976	0.7568519	0.0029189	0.0008684	0.0563237	0.0226136	0.0314321	0.0255178	0.026931	0.0014096
YOL108C	0.0427674	0.6433536	0.8244889	0.0837197	0.6796012	0.741512	0.0312534	0.1525869	0.1055184	0.897963	0.0681466	0.5955263	0.0214738	0.0279106	0.5721621	0.0222244	0.0777268	0.6706384	0.0399924	0.2113054	0.6972563	0.4372044	0.2165348	0.6783573	0.062846	0.4129955	0.7084151	0.5982275	0.0148389	0.1374669	0.134629	0.0792164	0.0891603	0.0499881	0.2919588	0.4764119	0.4588878	0.0156318	0.7635286	0.4355398	0.4125425	0.2536772	0.3174489	0.0993813	0.0379503	0.6637402	0.6055875	0.1457601	0.3584387	0.2187392	0.177159	0.5425611	0.1761393	0.583604	0.0479637	0.6615276	0.0741155	0.6860817	0.0503063	0.1537897	0.1205022	0.7232419	0.1105127	0.1203237	0.0920195	0.1322549	0.5011545	0.7490505	0.0875268	0.7020415	0.0378674	0.5241642	0.2246882	0.0809275	0.6849043	0.028572	0.0282161	0.5929405	0.0772504	0.0434064	0.6941894	0.9247464	0.7079329	0.71992	0.4235858	0.1304447	0.6377232	0.0421975	0.6914005	0.2040473	0.0731668	0.4824086	0.6509075	0.2516267	0.1144055	0.1311161	0.0120996	0.763228	0.6374039	0.5692146	0.1080363	0.4074324	0.1123512	0.0468622	0.5289031	0.1047351	0.6987285	0.7044083	0.0436909	0.5469779	0.071782	0.0992556	0.0481378	0.626441	0.1594974	0.2729811	0.1170907	0.6856365	0.7300375	0.0293009	0.617305	0.0357831	0.1338068	0.1748038	0.6386196	0.0399237	0.2037462	0.0732387	0.720147	0.7426602	0.5444359	0.7828262	0.4780538	0.0866545	0.7150888	0.1546202	0.9016404	0.1632707	0.5515437	0.0889559	0.6306834	0.6694859	0.5617311	0.1156544	0.0286373	0.1341701	0.2544253	0.1174746	0.0128242	0.7841823	0.010946	0.024437	0.7450055	0.7621388	0.0200718	0.0539679	0.084512	0.0789629	0.1500297	0.0319197	0.0970313	0.8556878	0.079401	0.8114365	0.5420059	0.1141997	0.6507072	0.4642933	0.0350425	0.7600921	0.1110193	0.7078382	0.0319628	0.7688537	0.0986226	0.7034896	0.1589149	0.1100876	0.687769	0.6349883	0.6505977	0.1201661	0.5655538	0.8290773	0.0420344	0.142137	0.0858518	0.5708854	0.695925	0.096759	0.1378651	0.4819005	0.011571	0.0929709	0.6335258	0.1263308	0.0720703	0.0870987	0.0204425	0.0661356
YIR018W	0.6357315	0.0606409	0.7245782	0.7242873	0.0316682	0.0002296	0.6555732	0.7115874	0.7368349	0.7581133	0.6757923	0.7126737	0.7281352	0.6560368	0.0435558	0.7803484	0.7275567	0.5131992	0.7396216	0.7943484	0.5153338	0.5774404	0.7467546	0.7619764	0.7948801	0.6402044	0.0001098	0.0048522	0.8947079	0.7967987	0.7455432	0.648887	0.7882249	0.7450246	0.7402508	0.6886225	0.717314	0.6794834	0.7430881	0.5683894	0.5188383	0.7165614	0.5765009	0.5844604	0.736652	0.1126353	2.33e-05	0.6204125	0.6513703	0.7412684	0.5873312	0.0008243	0.6365	0.5658633	0.6044202	0.001247	0.6979256	0.7767746	0.6859297	0.6319808	0.6442956	0.5893883	0.6678822	0.743683	0.6871826	0.6385774	0.6595115	0.6669224	0.7813899	0.0001476	0.7577632	0.6296052	0.6896453	0.7427947	0.000315	0.6619899	0.6652457	0.6307349	0.6322611	0.5701562	0.6877693	0.0242497	0.1640258	0.6455068	0.0004613	0.7094406	0.2329967	0.7096086	0.0002977	0.6825151	0.7591273	0.0009126	0.5139153	0.6380187	0.6646779	0.7641656	0.6753666	0.7549713	0.2510061	0.7570994	0.7228066	0.2448062	0.7237227	0.7539218	0.6994822	0.731886	0.0836184	0.731019	0.7240817	0.0010268	0.5899193	0.7889724	0.6985764	0.3804703	0.7204437	0.6157796	0.9410213	0.2685634	0.6827074	0.7635635	0.6527648	0.627403	0.6645647	0.6670612	0.385205	0.624338	0.8249786	0.7374372	0.1322673	0.6381698	0.7724741	0.0249702	0.8344749	0.7511822	0.0004441	0.6678771	0.3843845	0.6553399	0.0034485	0.8725268	0.0434046	0.0953948	0.6938247	0.6196385	0.7743054	0.6830345	0.7645771	0.7227893	0.7389685	3.86e-05	0.8191399	0.6641099	0.454136	2.83e-05	0.5996249	0.7990536	0.6820069	0.6204362	0.593492	0.8004997	0.7893936	0.538506	0.6739778	0.181787	0.0001064	0.692089	0.082613	0.3730071	0.7630192	0.8181538	0.7918923	0.3988505	0.6593077	0.0003579	0.6655193	0.1992605	0.7170119	0.7867559	0.0501571	0.6784485	0.3037394	0.6438325	0.3657001	0.0594771	0.8201525	0.6972777	0.6667248	0.6880258	0.6124206	0.7360861	0.7307668	0.5397932	0.8183479	0.684836	0.7091928	0.6955936	0.6112216	0.7742368	0.6701927	0.5735246
YJR060W	0.7734688	5.48e-05	0.5805545	0.7401311	0.152927	0.0767614	0.5975108	0.676937	0.6478143	0.6198696	0.6585663	0.6273141	0.7646021	0.6737098	0.0001383	0.5868595	0.6628048	0.2302085	0.7039359	0.7066922	0.2448132	0.6292024	0.7080242	0.6833088	0.7600204	0.3639583	0.0015009	0.0611896	0.5791394	0.7314747	0.7209735	0.66812	0.6166451	0.683575	0.6806307	0.781129	0.2741557	0.6524592	0.5367064	0.3786087	0.3448239	0.5898497	0.7288697	0.7862554	0.7640049	0.063882	0.0033476	0.6761497	0.8050327	0.6019859	0.7392738	0.0191331	0.8286519	0.6475386	0.7788418	0.0002523	0.7553528	0.5151039	0.6281351	0.5383856	0.5929702	0.7498608	0.6086313	0.7585707	0.682557	0.6732675	0.3789735	0.2659487	0.7308646	0.0003376	0.7114202	0.3891617	0.8499229	0.7558336	0.0127043	0.6467918	0.664976	0.3847199	0.6413187	0.7076432	0.5190428	0.0551846	0.0068611	0.6211012	0.000444	0.653072	0.1676775	0.5884939	1.6e-06	0.8903694	0.735342	0.0468648	0.1836403	0.6049635	0.7793889	0.7591988	0.8350327	0.519375	0.1571709	0.6805332	0.7571219	0.0013731	0.7875222	0.7490498	0.6499523	0.5909426	0.030178	0.5816541	0.6669516	0.000183	0.6608784	0.7534746	0.6951252	0.074192	0.7262082	0.7148047	0.6845391	0.1144604	0.3910285	0.6073031	0.4636444	0.7743631	0.5523725	0.7536433	0.2024571	0.6951897	0.7000289	0.7490231	0.0016712	0.5216498	0.6758145	0.0674076	0.5592671	0.6771475	0.0006997	0.6997942	0.1732928	0.746317	0.0449007	0.6749995	0.0881678	0.08921	0.7094923	0.6617125	0.6994761	0.6671873	0.7797016	0.5571819	0.652979	0.0010727	0.5972563	0.6572588	0.2949461	3.42e-05	0.6059746	0.6910234	0.601051	0.7731371	0.5948423	0.6222221	0.6594848	0.210676	0.6346508	0.1371267	0.0001918	0.6725022	0.0004919	0.3099673	0.83088	0.626578	0.6718169	0.2081719	0.8618417	0.0305293	0.7044798	0.0002601	0.691455	0.7197178	0.0729024	0.348987	6.1e-06	0.6043263	0.0003785	0.0001564	0.7285213	0.70597	0.651334	0.7253775	0.3581945	0.7867227	0.8100887	0.2673471	0.7245006	0.6746673	0.5131671	0.6487477	0.8262451	0.8087579	0.6360872	0.663796
YGL096W	0.8097796	0.0004377	0.2671933	0.5841636	0.0002487	0.0597079	0.7671923	0.5992494	0.802073	0.1551531	0.6324946	0.2018176	0.6903622	0.667755	0.0014471	0.8151766	0.6252315	0.0020259	0.713001	0.7172326	0.0429301	0.4361297	0.5070622	0.1898903	0.784788	0.1046272	0.0284433	0.04264	0.7508077	0.8939848	0.63287	0.7524104	0.5845479	0.7665698	0.4586336	0.3809246	0.0023511	0.6188391	0.1795743	0.0859287	0.2687441	0.4416318	0.4900261	0.6947432	0.617775	0.0006626	0.0168426	0.8280448	0.2445987	0.6304895	0.667135	0.0634624	0.5678107	0.3387465	0.5936128	0.0041998	0.7397055	0.1913903	0.6393475	0.58607	0.7373255	0.2851794	0.6967946	0.6278966	0.7191847	0.708717	0.1592545	0.1165587	0.6631113	0.000417	0.6615193	0.1086909	0.683687	0.5838321	0.0441369	0.7197115	0.9053415	0.1052587	0.6801922	0.7581955	0.3638732	0.0266182	0.015503	0.4009938	0.000199	0.5401634	0.000109	0.6632644	8.1e-06	0.599393	0.739247	0.002349	0.0025459	0.3758193	0.6806047	0.6062752	0.7281062	0.3517403	0.0012888	0.3432193	0.7033729	0.0075533	0.754394	0.7436546	0.3453457	0.6352439	0.0005697	0.2107748	0.6857302	0.0094759	0.8208157	0.6478259	0.7051848	0.044061	0.6581759	0.6162367	0.6328528	0.105061	0.0768424	0.6637065	0.0644908	0.8090019	0.6338459	0.7630101	0.0476336	0.6757097	0.4748168	0.5219761	0.0037915	0.3055711	0.2720742	0.0715641	0.3409662	0.7190286	0.0005231	0.845523	0.0051427	0.6361801	0.0375971	0.7544792	0.0610842	0.0727969	0.4399354	0.6885368	0.679796	0.5723319	0.6875584	0.5462714	0.7678806	0.0019175	0.7351563	0.6597699	0.0509472	0.0007968	0.7307941	0.5367435	0.5904756	0.6689645	0.6667702	0.7994937	0.6712391	0.0128156	0.6918412	0.0007389	0.0122323	0.7155392	0.0090267	0.1259766	0.7869858	0.1652535	0.7641677	0.0074236	0.8046936	0.0054234	0.6342876	3.89e-05	0.7058264	0.4784106	0.0009643	0.1188173	5.9e-06	0.7771225	0.0012023	0.0053028	0.7647905	0.6868572	0.7367795	0.2196051	0.1700412	0.6927197	0.7662698	0.0033661	0.6164552	0.6863029	0.2281478	0.5929358	0.6760992	0.6230884	0.6024672	0.6964513
YKL043W	0.6058902	0.0040271	0.0082763	0.6797459	0.0289146	0.0633767	0.6612349	0.5720684	0.8150271	0.0116651	0.7634816	0.1114233	0.4837807	0.5955733	0.0125088	0.5784906	0.2809695	0.0415181	0.9163455	0.6868112	0.0841443	0.1465822	0.1329116	0.0461847	0.8193235	0.0232961	0.0593	0.0410336	0.6811268	0.2621692	0.3634105	0.704968	0.5781617	0.5464192	0.0785823	0.0213505	0.0266025	0.7123707	0.0699689	0.0051856	0.122052	0.0621777	0.1474479	0.538786	0.5832261	0.0214712	0.0381539	0.702238	0.0332378	0.2481601	0.2563453	0.0014128	0.3629752	0.0179702	0.7479681	0.0240655	0.761633	0.0480812	0.4283272	0.707248	0.5702221	0.016876	0.589102	0.664933	0.7522795	0.6410758	0.0194091	0.0383453	0.6061076	0.0397548	0.3853466	0.0187915	0.6064121	0.7433874	0.0711552	0.671261	0.3668518	0.0280265	0.4575197	0.3976427	0.0098901	0.0866469	0.0244488	0.1136172	0.012451	0.2266679	0.0023917	0.6444271	0.0028461	0.2418202	0.6406927	0.0220936	0.0648515	0.1331289	0.5797919	0.52281	0.762914	0.1073757	0.0237503	0.0289833	0.7372463	0.04075	0.5308817	0.3055201	0.0634045	0.5526405	0.0180787	0.1164976	0.3579928	0.036542	0.7984309	0.6800447	0.7806417	0.0845889	0.5830707	0.4023171	0.5050764	0.034865	0.0754884	0.4702273	0.0017399	0.5917475	0.2312151	0.6252709	0.0510592	0.6484671	0.1456421	0.2651119	0.0292661	0.0064536	0.0693189	0.018889	0.0870606	0.6164541	0.009419	0.6917426	0.0398684	0.6254713	0.0405033	0.3585517	0.0162046	0.0006915	0.1338161	0.6419559	0.6113277	0.6981202	0.2081579	0.4853724	0.5260097	0.0135509	0.6791684	0.6554835	0.0278865	0.0121523	0.7029746	0.5030859	0.495349	0.4457421	0.3042569	0.597718	0.6031297	0.0375546	0.5693177	0.0247753	0.04727	0.6679874	0.0428266	0.0795343	0.5602321	0.0368132	0.8039336	0.0439942	0.5596275	0.0274258	0.3924209	0.0038349	0.7231113	0.8730422	0.0350986	0.0802646	0.0012669	0.6919459	0.0285179	0.0182771	0.5866682	0.501426	0.2156668	0.0250303	0.0331224	0.5120916	0.6283148	0.0390373	0.6297104	0.5999418	0.0006016	0.5446626	0.6552056	0.4909868	0.5006794	0.5241951
YER111C	0.0004197	0.2060416	0.2191564	0.0105256	0.286963	0.1744572	0.002326	0.0043801	0.0141952	0.1709608	0.0058044	0.0537715	0.0020991	0.011666	0.2388522	0.0040617	0.0133954	0.1675155	0.0038372	0.0053546	0.0943219	0.071412	0.0356218	0.1357552	0.0013506	0.2998071	0.1873757	0.0758944	0.0184052	0.0072977	0.0225747	0.00745	0.0015436	0.0044202	0.1205244	0.3703618	0.2029657	0.0054344	0.0622422	0.208241	0.1065468	0.1672298	0.0622114	0.0036416	0.0026122	0.2010758	0.0983794	0.0016059	0.1531463	0.0366829	0.0294272	0.2605529	0.0592002	0.1981313	0.0006135	0.2102698	0.0020099	0.1501057	0.0295515	0.0020466	0.0176611	0.1816761	0.0079521	0.0051939	0.0070409	0.0029843	0.375075	0.3790417	0.0020716	0.2171821	0.0339648	0.2434194	0.0011476	0.0034463	0.0761663	0.0007812	0.0219934	0.0871733	0.0134903	0.0240622	0.2916255	0.1518765	0.2985992	0.0410215	0.2424693	0.0242395	0.3796681	0.007865	0.366387	0.0587726	0.0083656	0.19379	0.0992132	0.0389364	0.0427508	0.0180488	0.0046662	0.1015865	0.2438591	0.1667927	0.0136147	0.1690035	0.0012317	0.0143468	0.1704151	0.0164852	0.3929053	0.0922445	0.0068902	0.2185001	0.0038956	0.0019307	0.0054896	0.0692964	0.0067566	0.023108	0.019653	0.140918	0.0844893	0.005067	0.2403419	0.0092675	0.0512332	0.0023842	0.1050651	0.0071528	0.0262867	0.0818112	0.2166423	0.1970198	0.089593	0.3326908	0.1216545	0.0202766	0.2367719	0.0071982	0.1550958	0.0018848	0.1625366	0.0292944	0.2549086	0.2523616	0.0883849	0.001455	0.0068765	0.0066963	0.0775774	0.0174976	0.0078401	0.1153946	0.0016164	0.0159873	0.1619289	0.3952848	0.0077985	0.0018167	0.0038133	0.0270819	0.0041457	0.0066572	0.0109508	0.0648344	0.0165534	0.0920523	0.155185	0.0110431	0.2347136	0.1036084	0.0096051	0.152388	0.0082561	0.2434222	0.0172791	0.3222861	0.0113673	0.1198304	0.0038075	0.0029134	0.1742107	0.1495574	0.2461913	0.0111669	0.1896713	0.188724	0.000217	0.0143272	0.0598198	0.3247738	0.2185924	0.0232994	0.0025984	0.1886963	0.020351	0.005658	0.4114474	0.01343	0.0100065	0.0080561	0.0470739	0.0028937
YLR182W	0.7192842	0.6758123	0.7313905	0.7353837	0.6685342	0.7159717	0.5844955	0.7340994	0.7485571	0.8474291	0.698922	0.8118388	0.6443311	0.64546	0.5904355	0.7704449	0.768245	0.496481	0.7834477	0.81214	0.8034015	0.8105929	0.7139861	0.5325026	0.8539076	0.4745863	0.7305407	0.6539383	0.7768818	0.6448979	0.6031558	0.7525999	0.7787688	0.7304549	0.3398733	0.6298388	0.5769268	0.6520008	0.7524299	0.7046197	0.6332635	0.6572745	0.8511531	0.6557145	0.7680883	0.7661932	0.7087903	0.7310667	0.7114062	0.6454895	0.416612	0.6572233	0.472273	0.235734	0.7561054	0.561503	0.6743985	0.6596725	0.6275065	0.7994092	0.5270692	0.3949345	0.5779411	0.7009614	0.6375841	0.7117434	0.7123233	0.8241984	0.64542	0.632661	0.6974336	0.5032265	0.6197685	0.7021023	0.6383045	0.7035593	0.4700735	0.7042678	0.7914822	0.5538997	0.6846065	0.6519788	0.6626711	0.7853279	0.5033559	0.5192978	0.7809544	0.6465908	0.7059694	0.8650687	0.549803	0.652964	0.6721257	0.5008246	0.4048256	0.7179489	0.7916439	0.6668542	0.1679729	0.6251638	0.7040851	0.7224483	0.8217615	0.646348	0.3650952	0.3777674	0.6245133	0.3629399	0.6054019	0.898583	0.6393756	0.5996972	0.7188779	0.6479868	0.7126663	0.7153627	0.5271292	0.5635278	0.5140268	0.6821728	0.5906089	0.6322333	0.7171201	0.6325877	0.6713751	0.6501819	0.3895992	0.676357	0.6856128	0.761596	0.7118756	0.5068702	0.6187478	0.6937157	0.7950524	0.6777722	0.6944651	0.7064995	0.6593799	0.5736503	0.6587418	0.5708924	0.43052	0.8616901	0.9162347	0.7339904	0.8028999	0.6320441	0.6049318	0.781121	0.69683	0.6648286	0.7341676	0.530971	0.6359276	0.6842068	0.5020386	0.6039251	0.6292009	0.6996635	0.5584604	0.8230819	0.5214154	0.6149999	0.3437627	0.7786671	0.8225564	0.6621663	0.5928325	0.5459829	0.6420233	0.7949433	0.601922	0.592	0.743203	0.477648	0.6949001	0.6585186	0.225804	0.6952596	0.5658233	0.409739	0.5597767	0.2726584	0.823466	0.4206553	0.7202376	0.7221302	0.7097449	0.3528373	0.5636482	0.3900286	0.4786814	0.7322823	0.3893184	0.4240396	0.6663688	0.3972909	0.6225907	0.659943
YLR183C	0.0021239	0.1119428	0.0391252	0.0006458	0.0427968	0.0008523	0.0325352	0.0024227	0.0005619	0.0319393	0.0013868	0.0089482	0.0006467	0.090171	0.0410891	0.035439	0.000113	0.0222675	0.0149461	0.0167979	0.0719542	0.0060292	0.0206823	0.0212576	0.0011095	0.0011638	0.0468273	0.003601	0.0305342	0.027092	0.0199858	0.0340081	0.0709685	0.0010441	0.0023357	0.0001621	0.026613	0.0581546	0.0015994	0.0580739	0.0256211	0.0438434	0.0004877	0.0220746	0.0007837	0.0723763	0.0102511	0.0318917	0.0571508	0.0149973	0.0754469	0.0418973	0.0217994	0.0362156	0.0455884	0.0036587	0.0087143	0.0031153	0.0016236	0.0525309	0.0188964	0.0148532	0.0802683	0.0057363	0.000132	0.0002848	0.0060944	0.0001715	0.0257643	0.0671547	0.0241125	0.0003162	0.0256466	0.0143171	0.0236972	0.0008563	0.0457763	0.0097158	0.0686667	0.0388215	0.0193282	0.0238803	0.0407653	0.0360668	0.0234547	0.0357654	0.0570289	0.0145039	0.0051524	0.0450343	0.0421257	0.0001944	0.0081437	0.0074576	0.0241204	0.046548	0.0539976	0.0019952	0.0471775	0.0046905	0.0476559	0.0104837	0.0002903	0.0523809	0.0220632	0.0977926	0.1381968	0.0270291	0.0163231	0.0044811	0.0346972	0.0528366	0.000461	0.0403663	0.0266375	0.0637422	0.070824	0.0117034	0.0204537	0.0281052	0.0347744	0.0004351	0.0265774	0.0040357	0.0005531	0.0001826	0.0002311	0.00076	0.0476379	0.0187892	0.0039848	0.0566828	0.0056953	0.0225934	0.0015934	0.04243	0.0613713	0.0006931	0.0618989	0.0337692	0.0022922	0.0037063	0.0443943	0.0009074	0.0300786	0.0563877	0.0142882	0.0366466	0.0404769	0.0010399	0.0214915	0.0014554	0.00032	0.0103364	0.0303144	0.0507486	0.0319255	0.0001479	0.0002219	0.0092775	0.0010313	0.0174924	0.0051057	0.0259926	0.0212485	0.1050547	0.0009606	0.0318913	0.0708697	0.0059041	0.0012414	0.0004884	0.0036834	0.0015847	0.0066694	0.031159	0.028597	0.0083213	0.0051046	0.0010614	0.0016522	0.0019167	0.0015109	0.3533142	0.000364	0.0340305	0.0063135	0.1041163	0.0559045	0.0355042	0.007525	0.0003145	0.0171054	0.0359438	0.002151	0.0029436	0.001879	0.0020088	0.01186	0.0021174
YPR104C	0.6277726	0.3250487	0.65045	0.7847709	0.6678013	0.7002367	0.3958033	0.6151899	0.6670157	0.6796166	0.7082682	0.486025	0.7759004	0.4519888	0.4005993	0.3822131	0.6054458	0.8625167	0.6335314	0.7611649	0.5886493	0.7627386	0.4976478	0.6239496	0.734882	0.676261	0.8903947	0.531173	0.645478	0.7055262	0.4775368	0.5540537	0.3730264	0.6766641	0.6556309	0.6824474	0.6921521	0.4018755	0.7882713	0.5303609	0.509646	0.5151461	0.6162114	0.418446	0.748856	0.8076457	0.7439545	0.7450768	0.657407	0.5298469	0.3631763	0.7201609	0.7234556	0.8004122	0.515808	0.5370029	0.6570217	0.676414	0.9197773	0.4152934	0.6362722	0.6182069	0.6004682	0.4660257	0.651096	0.6261654	0.6475239	0.6513519	0.6858622	0.6234752	0.6152887	0.8825919	0.7565559	0.7193084	0.7080337	0.7220187	0.5313551	0.5905413	0.7681246	0.7618179	0.6454012	0.8130113	0.8193648	0.5722555	0.4449257	0.725895	0.7560379	0.6969588	0.6305154	0.7542256	0.5654056	0.7047485	0.8281232	0.5648528	0.6698968	0.7785679	0.4842209	0.7142815	0.4027422	0.537693	0.5722204	0.3903035	0.5760027	0.6759942	0.6283093	0.8111409	0.7289722	0.6513223	0.8267403	0.5100579	0.9570645	0.6734603	0.6649131	0.5041034	0.6697635	0.5809473	0.79866	0.6573606	0.7569826	0.6658831	0.8459203	0.6938825	0.6247202	0.5399274	0.6526634	0.7026257	0.8068786	0.7746601	0.798506	0.7474023	0.4454062	0.7389577	0.6146574	0.5257451	0.6215613	0.6460904	0.5999039	0.7687067	0.6423637	0.6687225	0.7338482	0.4678979	0.8140115	0.6152929	0.6829259	0.8980681	0.564222	0.6795517	0.6208787	0.7946092	0.4596397	0.576082	0.5457899	0.7226383	0.6210264	0.7840404	0.7849173	0.719674	0.7939479	0.5507477	0.7224946	0.532133	0.5431354	0.6383542	0.6813343	0.5487369	0.6951123	0.5988489	0.8211774	0.6352121	0.6609614	0.4588411	0.4908255	0.9186952	0.5733882	0.7090992	0.7086887	0.6727404	0.6719226	0.6654044	0.7333783	0.6092797	0.853573	0.2396314	0.6925612	0.5938874	0.6573773	0.529739	0.5253591	0.6508941	0.4851663	0.6277293	0.7593146	0.3827344	0.7262439	0.7362005	0.8147055	0.7251368	0.5289418	0.78872
