	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24
leuO	4.125770146	4.949877384	9.46992433	7.267360479	4.781851341	7.208980174	8.848682238	6.972775908	10.75052995	9.604636515	10.11924536	9.039524933	3.223758784	1.627713423	6.402648926	8.932995946	3.951051821	4.970311579	4.770656758	3.791697348	9.217606308	10.60326185	4.153046163	8.587297402
nrdR	174.412482	167.7450063	181.5453786	175.302915	218.324559	208.747364	228.7957116	224.9065179	184.8407822	193.1359656	195.3430848	169.4877179	142.6173731	167.2971796	161.9493552	155.8800839	141.2340414	153.0319104	123.6547583	139.355935	158.5428285	148.4158256	161.1584499	153.7485286
bolA	121.8798465	120.1838763	118.2107796	224.0219923	120.5356321	95.42046256	137.7648286	108.0712217	71.00741884	63.04174294	105.0307881	76.5910487	70.83174081	112.6302851	82.65001575	73.27285009	78.60095332	99.49192662	71.74785755	72.35490831	49.69994624	52.60849148	74.455395	82.76378013
acrA	341.432112	352.4183255	360.8873255	403.6235357	354.8243071	345.8912681	354.2861995	315.4658429	336.6790096	306.3637392	362.4849177	366.8532688	296.8474856	303.3818695	274.44656	284.3703511	266.7734209	281.1874305	256.6741656	263.7517643	194.894908	194.5120097	248.3695373	249.4615028
acrR	32.15088417	37.42820421	43.65795623	37.075856	49.02343189	41.26314158	38.94227757	32.02526626	31.340528	21.65330031	40.10179757	43.29341481	32.25248966	39.01607617	29.91945714	29.64350115	38.15443686	47.86783125	46.93841099	39.1687645	19.54302971	14.86115579	28.61698373	26.15175135
dpiA	20.02994861	25.10366242	24.4385144	25.99716219	33.3855492	35.60816486	38.71024016	37.04525922	34.11690664	25.75694997	31.36252003	30.70701031	16.46385901	21.07276302	30.0389933	26.62731736	18.72501172	22.40648527	18.67041591	18.97975853	22.78181407	21.77878411	31.16002524	23.82282505
fur	496.5843254	505.951634	456.6701902	510.0462739	573.1952546	440.7109242	536.4733912	467.2711332	1736.274578	1715.791133	1745.487945	2073.57198	936.0054104	1152.571279	1155.552028	1050.708011	1572.320925	1502.333732	1545.241737	1545.965238	2270.913684	2336.732973	2239.83606	2354.699381
modE	59.09573181	54.45726652	50.10668823	61.60407364	61.26943753	62.32262403	61.13086707	74.04431871	61.44131992	62.41344068	74.97688333	62.73817945	48.60530491	54.79235938	64.49274321	71.69252524	44.74982965	60.36816411	51.82244523	47.97071012	70.84255501	68.85719012	70.07608272	68.85948809
rcdA	12.8350739	13.87150234	11.23013331	11.76982516	18.21784628	17.62275043	14.06312946	15.268017	13.46147524	12.38486339	13.62301056	13.94847869	13.39837294	8.58633958	12.25155903	9.357636503	12.15792991	15.91859084	12.58282888	10.725472	9.135367442	5.736737609	14.93707124	14.02105463
ybjC	17.14110892	16.20271282	21.62681681	24.41467834	8.869865429	9.784354727	10.0263083	9.474271215	2.665933033	10.47979947	5.175608842	4.830952948	6.715234561	8.880143587	6.164162308	8.710049202	7.005483751	5.810571866	3.90401496	5.396337733	4.388728817	2.669865773	1.235854567	6.525369714
nfsA	92.88856746	87.1112615	92.65876236	90.95928965	54.35855374	53.53015065	57.36507056	52.60219115	45.97187946	47.01955997	39.66632367	52.78933754	56.86550198	57.66042405	50.68746393	45.69510422	25.16749066	36.64673102	34.28415347	31.88013225	24.96392604	23.71257512	29.84571711	33.86162157
rimK	56.62507183	55.19777191	62.91633354	50.63331167	35.19491957	37.90355117	33.65578821	28.49855827	30.51136764	32.16278281	38.22106976	45.17395244	45.38938253	41.82639313	33.69764791	39.77882774	36.52246243	35.29408199	34.23293016	35.02067984	24.37771367	26.24605051	29.63180061	30.00770553
ybjN	171.7838165	175.4132214	165.624618	140.7989078	141.6395038	169.8138218	145.1495741	155.7020255	146.0317803	152.0667137	142.3779675	160.2792446	165.8819478	157.4894084	130.4403802	144.4420831	158.3437745	150.0087866	136.5646835	138.0096441	133.3351821	136.4005379	124.0353285	117.1437227
lrp	1127.977752	1073.878892	1043.791861	1028.976964	1288.079712	1189.489528	1298.533826	1370.788647	1329.966267	1470.366575	1133.875724	1138.238502	1062.300014	1096.567634	1241.622607	1174.139468	1029.247672	1088.807449	1032.722151	1015.588585	1342.8194	1210.278145	1232.06478	1310.840313
rmf	135.9025306	134.2086762	56.70747587	83.50108923	101.7147882	60.03772693	93.34816032	103.837299	73.85423239	78.8527397	88.50597368	60.92646355	98.42955815	143.7567387	258.2565161	292.5744549	99.52442368	150.0399679	110.6324577	95.04898539	228.9020719	227.1400155	204.9982905	273.8190074
